Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
IA-043,Clayton County,29.66,33,-3.51,33.17
IA-045,Clinton County,31.64,37,-3.3,34.94
IA-047,Crawford County,29.04,58,-0.72,29.76
IA-049,Dallas County,31.47,58,-0.29,31.76
IA-051,Davis County,43.42,113,8.2,35.22
IA-053,Decatur County,40.53,104,6.34,34.19
IA-055,Delaware County,30.89,41,-2.41,33.3
IA-057,Des Moines County,44.84,116,9.6,35.24
IA-059,Dickinson County,28.36,65,0.18,28.18
IA-061,Dubuque County,29.07,24,-4.3,33.37
IA-063,Emmet County,28.64,58,-0.71,29.35
IA-065,Fayette County,31.33,47,-1.97,33.3
IA-067,Floyd County,34.26,80,2.15,32.11
IA-069,Franklin County,28.32,33,-3.51,31.83
IA-071,Fremont County,35.04,83,2.59,32.45
IA-073,Greene County,29.58,48,-1.87,31.45
IA-075,Grundy County,28.19,25,-4.84,33.03
IA-077,Guthrie County,31.04,57,-0.62,31.66
IA-079,Hamilton County,27.64,37,-3.28,30.92
IA-081,Hancock County,30.79,60,-0.48,31.27
IA-083,Hardin County,27.09,22,-4.83,31.92
IA-085,Harrison County,35.67,102,6.38,29.29
IA-087,Henry County,42.05,111,6.78,35.27
IA-089,Howard County,33.68,69,1.08,32.6
IA-091,Humboldt County,29.12,56,-1.37,30.49
IA-093,Ida County,28.9,64,0.09,28.81
IA-095,Iowa County,30.87,44,-2.9,33.77
IA-097,Jackson County,32.69,48,-1.35,34.04
IA-099,Jasper County,30,42,-2.95,32.95
IA-101,Jefferson County,40.07,98,5.17,34.9
IA-103,Johnson County,32.86,61,-0.89,33.75
IA-105,Jones County,30.33,38,-3.29,33.62
IA-107,Keokuk County,37.37,84,3.38,33.99
IA-109,Kossuth County,28.62,50,-1.56,30.18
IA-111,Lee County,45.72,115,10.19,35.53
IA-113,Linn County,30.78,47,-2.24,33.02
IA-115,Louisa County,40.4,107,5.93,34.47
IA-117,Lucas County,40.39,102,6.62,33.77
IA-119,Lyon County,28.53,75,2.2,26.33
IA-121,Madison County,34.47,75,1.65,32.82
IA-123,Mahaska County,35.07,72,1.29,33.78
IA-125,Marion County,33.56,62,0.07,33.49
IA-127,Marshall County,26.18,18,-6.33,32.51
IA-129,Mills County,34.65,81,2.92,31.73
IA-131,Mitchell County,34.97,86,3,31.97
IA-133,Monona County,31.14,83,2.62,28.52
IA-135,Monroe County,39.74,96,5.51,34.23
IA-137,Montgomery County,34.56,80,2.05,32.51
IA-139,Muscatine County,34.6,62,0.09,34.51
IA-141,O'Brien County,29.7,80,1.66,28.04
IA-143,Osceola County,28.62,74,0.91,27.71
IA-145,Page County,35.71,84,2.32,33.39
IA-147,Palo Alto County,30.14,65,0.55,29.59
IA-149,Plymouth County,25.02,40,-2.11,27.13
IA-151,Pocahontas County,29.8,61,-0.12,29.92
